Input,Output
I think I have some pretty decent kids. May be too soon to tell though.,Oh_comma_ all kids are a little iffy_comma_ I think. Are you a teacher or do you mean your own children?
Oh_comma_ all kids are a little iffy_comma_ I think. Are you a teacher or do you mean your own children?,My oldest is 13. She is the worst. But my 2 and 3 year old are perfect lol
children? <sep> My oldest is 13. She is the worst. But my 2 and 3 year old are perfect lol,Teenagers are awful! I am really looking forward to my daughter becoming a teenager....not.
year old are perfect lol <sep> Teenagers are awful! I am really looking forward to my daughter becoming a teenager....not.,lol. she is upset about everything all of time. I couldnt have been that way lol
becoming a teenager....not. <sep> lol. she is upset about everything all of time. I couldnt have been that way lol,"My mom put ""the curse"" on me. She said she hopes my daughter acted 10 times worse than I did. If that's the case_comma_ I need to start saving for boarding school_comma_ because I was awful!"
worse than I did. If that's the case_comma_ I need to start saving for boarding school_comma_ because I was awful!,That's hilarious. Maybe II was terrible too then.
need to start saving for boarding school_comma_ because I was awful! <sep> That's hilarious. Maybe II was terrible too then.,Good luck!
able to loan me $500 to get the new transmission_comma_ and my step dad was able to put it in.,So is it working now? I need atransmission for an old volvo. I'm saving for a new car instead.
<sep> So is it working now? I need atransmission for an old volvo. I'm saving for a new car instead.,It's still a work in progress_comma_ but we tested the transmission before we put it in. It works wonderfully and came out of a car that only has 90_comma_000 miles on it_comma_ versus mine that has 200_comma_000. I would like to get a new car_comma_ but I don't want to take on another payment until my house is paid off.
to get a new car_comma_ but I don't want to take on another payment until my house is paid off.,Makes sense. I don't want any more bills until my kids are in school. Daycare is very expensive.
off. <sep> Makes sense. I don't want any more bills until my kids are in school. Daycare is very expensive.,Yes it is! Especially for two!
any more bills until my kids are in school. Daycare is very expensive. <sep> Yes it is! Especially for two!,of course the 13 year old hates to babysit. I can't wait until she moves out. jk
for two! <sep> of course the 13 year old hates to babysit. I can't wait until she moves out. jk,Of course she does! Lol that's hilarious_comma_ but I know how hard teenagers are so it's kind of almost serious too. 
she does! Lol that's hilarious_comma_ but I know how hard teenagers are so it's kind of almost serious too. ,This was the most fun chat Ive had today. Enjoy yur day!
HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,What is HELLP? I'm sorry you and your baby had to go through that.
about the same thing happening. <sep> What is HELLP? I'm sorry you and your baby had to go through that.,It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down.
It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down.,That's terrible. There are so many things to be afraid of when you're pregnant!
car has been down for about a month. Every time I leave the house I see all brand new cars.,I absolutely hate car issues.  Will you be getting it fixed or buying another one?
brand new cars. <sep> I absolutely hate car issues.  Will you be getting it fixed or buying another one?,I'm saving for a new one. I didn't even have it a year. 
fixed or buying another one? <sep> I'm saving for a new one. I didn't even have it a year. ,Did it have any warranty when you bought it?
new one. I didn't even have it a year.  <sep> Did it have any warranty when you bought it?,Nope. I bought it cash from obviously a snake oil salesman.
I am always alone in the summer.,Why are you alone so much in the summer?
I am always alone in the summer. <sep> Why are you alone so much in the summer?,My wife goes to Canada to visit her mom.
<sep> Why are you alone so much in the summer? <sep> My wife goes to Canada to visit her mom.,Do you have friends around? Go to a bar and meet some friends!
the parking lot of my old elementary school just to see all the things I used to see years ago.,Was it as you remembered it?
school just to see all the things I used to see years ago. <sep> Was it as you remembered it?,It was exactly the same! I was super surprised that no renovations were made_comma_ the same playground and buildings and everything.
was exactly the same! I was super surprised that no renovations were made_comma_ the same playground and buildings and everything.,That is amazing that it was not torn down or remodeled.  They seem to throw way too many buildings away these days.
kids anything because we have the money to do it ourselves - and I get a bit miffed at times.,I know that feeling too_comma_ at least somewhat. Seems like clear favoritism to me_comma_ but maybe I'm wrong.
times. <sep> I know that feeling too_comma_ at least somewhat. Seems like clear favoritism to me_comma_ but maybe I'm wrong.,"She always says ""If I didn't buy it for them_comma_ they wouldn't have it"".  But it's a bit ridiculous because my sister in law DOES have the money_comma_ she just refuses to raise her own children."
a bit ridiculous because my sister in law DOES have the money_comma_ she just refuses to raise her own children.,That type of stuff always makes me so angry_comma_ since it's so clearly favoritism and hypocrisy and they just don't care one bit.
I really like the new football coach.,I like football_comma_ who are you talking about? what team?
I really like the new football coach. <sep> I like football_comma_ who are you talking about? what team?,The Falcons and their new defensive coach.
coach. <sep> I like football_comma_ who are you talking about? what team? <sep> The Falcons and their new defensive coach.,Oh i see! are you excited with him? do you think they can go for the super bowl?
I am so proud to be an American.,I know that feeling!  Are you involved in any political or activists groups?
proud to be an American. <sep> I know that feeling!  Are you involved in any political or activists groups?,No I am not.
